language,English,German,French,Spanish,Ukranian,Russian,Japanese,Chinese,Korean
cancel,Cancel,Abbrechen,annuler,cancelar,скасувати,отменить,キャンセル,取消,취소하다
mission_information,Mission Information,Informationen zur Mission,Informations sur la mission,Información sobre la misión,Інформація про місію,информация о миссии,ミッションに関する情報,任务信息,임무에 대한 정보
guides,Guides,Guides,conseiller,asesor,порадник,советник,アドバイザー,顾问,조언자
candle,Candle,Kerze,bougie,vela,свічка,свеча,キャンドル,蜡烛,촛불
painting,Change Painting,Gemälde wechseln,changer de tableau,cambiar cuadro,змінювати картини,менять картины,絵を変える,更换画作,그림을 교체하다
requireMatch,Buy a match first,Kaufe erst ein Streichholz,Achète d'abord une allumette,Compra primero una cerilla,Спочатку купи сірник,Сначала купи спичку,まずはマッチを購入してください,先买一根火柴,먼저 성냥을 구입하세요
shop,Shop,Shop,boutique,tienda,магазин,магазин,ショップ,商店,가게
curAmount,Current amount,Aktuell gekauft,actuellement acheté,Recientemente comprado,недавно куплений,только что куплено,現在購入した,当前购买,현재 구매됨
upgrade_name_5,Matches,Streichhölzer,allumettes,cerillas,сірники,спички,マッチ,火柴,성냥
UpgradeInfo_5,Buy matches to light the candle to prevent a hunt,"Kaufen Sie Streichhölzer zum Anzünden der Kerze, um eine Jagd zu verhindern",Achetez des allumettes pour allumer la bougie afin d'éviter une chasse,Compre cerillas para encender la vela y evitar una caza,"Купіть сірники, щоб запалити свічку, аби запобігти полюванню","Купите спички, чтобы зажечь свечу и предотвратить охоту",キャンドルを点灯するためにマッチを買って、狩猟を避けてください,为了防止打猎，请买火柴点蜡烛,"촛불을 켜기 위해 성냥을 사세요, 사냥을 막기 위해"
hint_2,Note: He will always be there,Hinweis: Er wird immer dort sein,Indice : Il sera toujours là,Él siempre estará ahí,Підказка: він завжди там буде,Подсказка: Он всегда будет там,注意：彼は常にそこにいます,提示：他将永远在那里,참고: 그는 항상 거기에 있을 겁니다
hint_3,Note: The EMF can help locate the ghost room,"Hinweis: Der EMF kann helfen, den Geisterraum zu lokalisieren",Indice : Le champ électromagnétique peut aider à localiser la salle des esprits,Indicación: El EMF puede ayudar a localizar la habitación fantasma,Підказка: ЕМП може допомогти локалізувати примарний простір,Совет: ЭМП может помочь определить местонахождение комнаты с призраком,ヒント：EMFは幽霊の部屋を特定するのに役立ちます,提示：电磁场仪可以帮助确定鬼魂的位置,힌트: EMF는 유령의 방을 찾는 데 도움이 될 수 있습니다
hint_4,Note: You can try exorcism several times,Hinweis: Sie können den Exorzismus mehrmals versuchen,Remarque : Vous pouvez tenter l'exorcisme plusieurs fois,Consejo: Puedes intentar el exorcismo varias veces,Підказка: Ви можете спробувати екзорцизм кілька разів,Подсказка: Вы можете попробовать экзорцизм несколько раз,ヒント：あなたは何度もエクソシズムを試みることができます,提示：您可以多次尝试驱魔,힌트: 당신은 퇴마를 여러 번 시도할 수 있습니다
hint_5,Note: He will find you,Er wird dich finden,Il vous trouvera,Él te encontrará,Підказка: Він вас знайде,Он вас найдет,彼はあなたを見つけるでしょう,他会找到你,그는 당신을 찾을 것입니다
hint_6,Note: You can light the candle several times,Hinweis: Sie können die Kerze mehrmals anzünden,Indication : Vous pouvez allumer la bougie plusieurs fois,Pista: Puedes encender la vela varias veces,Підказка: Ви можете запалювати свічку кілька разів,Совет: Вы можете зажигать свечу несколько раз,ヒント：あなたはキャンドルを何度も灯すことができます,提示：您可以多次点燃蜡烛,힌트: 촛불을 여러 번 켤 수 있습니다
hint_7,Note: Have you checked out our shop?,Hinweis: Haben Sie schon unseren Shop besucht?,Indice: Avez-vous déjà visité notre boutique ?,Consejo: ¿Ya ha visitado nuestra tienda?,Підказка: Ви вже відвідали наш магазин?,Подсказка: Вы уже посетили наш магазин?,ヒント：私たちのショップにはもう訪れましたか？,提示：您已经访问过我们的商店了吗？,힌트: 우리 상점에 방문하셨나요?
hint_8,Note: Don't be ashamed to look for tutorials,"Hinweis: Schämen Sie sich nicht, nach Tutorials zu suchen",Astuce : Ne vous sentez pas gêné de chercher des tutoriels,Consejo: No te avergüences de buscar tutoriales,Підказка: Не соромтеся шукати туторіали,Подсказка: Не стесняйтесь искать учебные материалы,ヒント：チュートリアルを探すことを恥じる必要はありません,提示：不要羞于寻找教程,힌트: 튜토리얼을 찾는 것을 부끄러워하지 마세요
upgrade_name_6,Sanity Meter,Sanitätsmeter,Appareil de mesure pour la santé mentale,dispositivo de medición para la salud mental,прилад для вимірювання психічного здоров'я,прибор для измерения психического здоровья,精神健康のための測定器,精神健康测量仪,정신 건강 측정기
UpgradeInfo_6,Adds a Sanity Meter to see the current state of sanity,"Fügt ein Sanitätsmessgerät hinzu, um den aktuellen Stand der Vernunft anzuzeigen",Ajoutez un appareil médical pour montrer l'état actuel de la raison,Agrega un medidor de cordura para mostrar el estado actual de la cordura,"Додає медичний вимірювальний пристрій, щоб показати поточний стан розуму",Добавляет медицинский измерительный прибор для отображения текущего состояния разума,現在の理性の状態を表示するために医療計測器を追加します,添加一个卫生测量设备以显示当前的理智状态,현재 이성의 상태를 표시하기 위해 의료 측정 장치를 추가합니다
upgrade_name_7,Sanity pills,Pillen für die Gesundheit,Pilules pour la santé,Píldoras para la salud,Пігулки для здоров'я,таблетки для здоровья,健康のための錠剤,保健药丸,건강을 위한 알약들
UpgradeInfo_7,Add Sanity pills to the game to increase your sanity,"Füge dem Spiel Gesundheitspillen hinzu, um deine geistige Gesundheit zu erhöhen.",Ajoute des pilules de santé au jeu pour augmenter ta santé mentale.,Añade píldoras de salud al juego para aumentar tu salud mental.,"Додай до гри пігулки здоров’я, щоб покращити своє психічне здоров’я.","Добавь в игру таблетки здоровья, чтобы увеличить свое психическое здоровье.",ゲームに健康ピルを追加して、あなたの精神的な健康を向上させてください。,在游戏中添加健康药丸以提高你的精神健康。,게임에 정신 건강을 높이기 위해 건강 알약을 추가하세요.
SanityPills,Sanity Pills,Pillen für die Gesundheit,Pilules pour la santé,Pastillas para la salud,пігулки для здоров'я,Таблетки для здоровья,健康のための錠剤,为健康而药,건강을 위한 알약
incomingCall,Incoming Call from The BO$$,Eingehender Anruf von The BO$$,Appel entrant de The BO$$,Llamada entrante de The BO$$,Вхідний дзвінок від The BO$$,Входящий вызов от The BO$$,The BO$$からの着信,来自老板的来电,보스로부터 걸려온 전화
accept,Accept,Akzeptieren,accepter,aceptar,приймати,принимать,受け入れる,接受,수락하다
decline,Decline,Ablehnen,refuser,rechazar,відхилити,отклонить,拒否する,拒绝,거절하다
decline,Decline,Ablehnen,refuser,rechazar,відхилити,отклонять,断る,拒绝,거절하다
mission_name_5,Chernobyl,Tschernobyl,Tchernobyl,Chernóbil,Чорнобиль,Чернобыль,チェルノブイリ,切尔诺贝利,체르노빌
mission_info_5,"Welcome to the infamous Chernobyl Exclusion Zone, the site of one of the most catastrophic nuclear disasters in history. This map plunges you deep into the heart of this abandoned and radiation-contaminated area, where paranormal activity has intensified since the disaster.","Willkommen in der berüchtigten Sperrzone von Tschernobyl, dem Ort einer der katastrophalsten Nuklearkatastrophen der Geschichte. Mit dieser Karte tauchen Sie tief in das Herz dieses verlassenen und strahlenverseuchten Gebiets ein, in dem seit der Katastrophe verstärkt paranormale Aktivitäten zu beobachten sind.","Bienvenue dans la tristement célèbre zone d'exclusion de Tchernobyl, le site de l'une des catastrophes nucléaires les plus désastreuses de l'histoire. Avec cette carte, vous plongez au cœur de cette zone abandonnée et contaminée par les radiations, où une augmentation des activités paranormales a été observée depuis la catastrophe.","Bienvenido a la infame zona de exclusión de Chernóbil, el sitio de uno de los desastres nucleares más catastróficos de la historia. Con este mapa, te adentrarás en el corazón de esta área abandonada y contaminada por radiación, donde se han observado actividades paranormales intensificadas desde la catástrofe.","Ласкаво просимо у знамениту зону відчуження Чорнобиля, місце однієї з найкатастрофічніших ядерних катастроф в історії. З цією картою ви зануритесь у глиб серця цієї покинутої та радіаційно забрудненої території, де з часу катастрофи спостерігається підвищена паранормальна активність.","Добро пожаловать в зловещую зону отчуждения Чернобыля, место одной из самых катастрофических ядерных катастроф в истории. С этой картой вы погрузитесь в самое сердце этой заброшенной и радиоактивно загрязненной территории, где с момента катастрофы значительно усилились паранормальные явления.",チェルノブイリの悪名高い禁止区域へようこそ。これは歴史上最も破壊的な核災害の現場です。この地図を使って、放棄され、放射能に汚染されたこの地域の中心部へと深く潜り込みます。災害以来、ここでは特に超常的な活動が増加しています。,欢迎来到臭名昭著的切尔诺贝利禁区，这里是历史上最灾难性的核灾难之一的发生地。有了这张地图，您将深入这个被遗弃和辐射污染的区域的心脏地带，在那里自灾难以来，异常的超自然活动有所增加。,체르노빌의 악명 높은 제한 구역에 오신 것을 환영합니다. 이곳은 역사상 가장 참담한 핵 재해가 일어난 장소입니다. 이 지도를 통해 당신은 이 버려진 방사능 오염 지역의 심장부로 깊이 들어갈 것입니다. 재난 이후 이 지역에서는 초자연적 활동이 증가하고 있습니다.
mission_name_6,Police station,Polizeistation,commissariat,comisaría,поліцейська станція,полицейский участок,警察署,警察局,경찰서
mission_info_6,"Welcome to the Police station, the new map for Paranormal Observation","Willkommen bei der Polizeistation, der neuen Karte für die paranormale Beobachtung","Bienvenue au poste de police, la nouvelle carte pour l'observation paranormale","Bienvenido a la estación de policía, el nuevo mapa para la observación paranormal","Ласкаво просимо на поліцейську станцію, нову карту для паранормального спостереження","Добро пожаловать в полицейский участок, новую карту для паранормальных наблюдений",警察署へようこそ、新しいパラノーマル観測マップです,欢迎来到警察局，这是用于超自然观察的新地图,파라노말 감시를 위한 새로운 지도인 경찰서에 오신 것을 환영합니다
Subtitle_0,"0.0: Hello and welcome to your first paranormal observation.
3.5: My name is Daniel, and I will be guiding you through your first observation.
7.7: You are in the basement where you can use the computer to track down the spirit you are dealing with.
12.2: The ghost can go through different rooms. You have several ghost detection tools below.
16.7: Use the UV light for foot and fingerprints, the laser for laser evidence. Sound for voice evidence.
23: You also have another task to do in addition. You can find it as a note on your computer.
28.1: When you have found all the evidence you need to get the ghost type, you can perform an exorcism.
32.8: It is very important to note that the ghost can wander around the building, so you need to perform the exorcism when you are very sure that the spirit is in the room.
41: For example, you can use the EMF meter to detect the ghost room.
45: Just because you are in the basement it doesn't mean you are completely safe, the ghost can still hunt.
50: In that case you can hide below the desk so you will be safe.
53.5: No problem at all.
54.6: I wish you all the best for your first mission.
57: Good luck, We'll talk again soon!","0:Hallo und herzlich willkommen zu deiner ersten paranormalen Beobachtung. Mein Name ist Daniel, und ich werde dich durch deine erste Beobachtung führen.
10:Du befindest dich im Keller, wo du den Computer nutzen kannst, um den Geist zu verfolgen, mit dem du es zu tun hast.
17:Der Geist kann sich durch verschiedene Räume bewegen, und du hast mehrere Werkzeuge zur Geistererkennung zur Verfügung.
24:Verwende UV-Licht, um Fuß- und Fingerabdrücke zu erkennen, den Laser für Lasernachweise und das Mikrofon für akustische Beweise.
33:Zusätzlich hast du eine Aufgabe zu erledigen, die du als Hinweis auf deinem Computer finden wirst.
39:Sobald du alle notwendigen Beweise gesammelt hast, kannst du mit dem Exorzismus beginnen. Es ist sehr wichtig, dass du den Exorzismus nur durchführst, wenn du dir absolut sicher bist, dass der Geist im Raum ist, denn er kann sich frei im Gebäude bewegen. 
55:Den EMF-Detektor kannst du verwenden, um den Aufenthaltsraum des Geistes zu bestimmen. Auch wenn du dich im Keller befindest, bist du nicht vollständig sicher; der Geist kann immer noch auf die Jagd gehen.
67:In einem solchen Fall kannst du dich unter dem Schreibtisch verstecken, um sicher zu sein. Keine Sorge, das wird schon.
73:Ich wünsche dir alles Gute für deine erste Mission. Viel Glück, wir sprechen bald wieder!","0.0 : Bonjour et bienvenue à votre première observation paranormale.
3.5 : Je m'appelle Daniel et je vais vous guider dans votre première observation.
7.7 : Vous êtes au sous-sol où vous pouvez utiliser l'ordinateur pour retrouver l'esprit auquel vous avez affaire.
12.2 : Le fantôme peut traverser différentes pièces. Vous disposez de plusieurs outils de détection des fantômes ci-dessous.
16.7 : Utilisez la lumière UV pour les empreintes de pieds et de doigts, le laser pour les preuves laser. Le son pour les preuves vocales.
23 : Vous avez également une autre tâche à accomplir. Vous la trouverez sous forme de note sur votre ordinateur.
28.1 : Lorsque vous avez trouvé toutes les preuves nécessaires pour obtenir le type de fantôme, vous pouvez procéder à un exorcisme.
32.8 : Il est très important de noter que le fantôme peut se promener dans le bâtiment, vous devez donc procéder à l'exorcisme lorsque vous êtes certain que l'esprit se trouve dans la pièce.
41 : Par exemple, vous pouvez utiliser un appareil de mesure des champs électromagnétiques pour détecter la présence d'un fantôme dans la pièce.
45 : Ce n'est pas parce que vous êtes au sous-sol que vous êtes totalement en sécurité, le fantôme peut toujours vous chasser.
50 : Dans ce cas, vous pouvez vous cacher sous le bureau pour être en sécurité.
53.5 : Pas de problème.
54.6 : Je vous souhaite bonne chance pour votre première mission.
57 : Bonne chance, on se reparle bientôt !","0.0: Hola y bienvenido a tu primera observación paranormal.
3.5: Mi nombre es Daniel y te guiaré en tu primera observación.
7.7: Estás en el sótano donde puedes usar el ordenador para localizar al espíritu con el que estás tratando.
12.2: El fantasma puede pasar por diferentes habitaciones. A continuación tienes varias herramientas de detección de fantasmas.
16.7: Usa la luz ultravioleta para huellas de pies y dedos, el láser para evidencia láser. El sonido para pruebas de voz.
23: También tienes otra tarea adicional. Puedes encontrarla como nota en tu ordenador.
28.1: Cuando hayas encontrado todas las pruebas que necesitas para conseguir el tipo de fantasma, puedes realizar un exorcismo.
32.8: Es muy importante tener en cuenta que el fantasma puede deambular por el edificio, por lo que necesitas realizar el exorcismo cuando estés muy seguro de que el espíritu está en la habitación.
41: Por ejemplo, puedes usar el medidor EMF para detectar la habitación fantasma.
45: Que estés en el sótano no significa que estés completamente a salvo, el fantasma aún puede cazar.
50: En ese caso puedes esconderte debajo del escritorio y así estarás a salvo.
53.5: No hay ningún problema.
54.6: Te deseo lo mejor para tu primera misión.
57: ¡Buena suerte, volveremos a hablar pronto!","0.0: Привіт і ласкаво просимо на ваше перше паранормальне спостереження.
3.5: Мене звати Даніель, і я буду супроводжувати вас під час вашого першого спостереження.
7.7: Ви знаходитесь у підвалі, де можете скористатися комп'ютером, щоб відстежити духа, з яким маєте справу.
12.2: Привид може ходити по різних кімнатах. Нижче у вас є кілька інструментів для виявлення привидів.
16.7: Використовуйте ультрафіолетове світло для відбитків ніг і пальців, лазер для лазерних доказів. Звук - для голосових доказів.
23: У вас також є ще одне завдання. Ви можете знайти його у вигляді нотатки на своєму комп'ютері.
28.1: Коли ти знайдеш всі докази, необхідні для визначення типу привида, ти можеш провести екзорцизм.
32.8: Дуже важливо відзначити, що привид може блукати по всьому будинку, тому вам потрібно проводити обряд вигнання, коли ви абсолютно впевнені, що дух знаходиться в кімнаті.
41: Наприклад, ви можете використовувати ЕМП-метр, щоб виявити кімнату з привидами.
45: Те, що ви перебуваєте в підвалі, не означає, що ви в цілковитій безпеці, привид все ще може полювати.
50: У такому випадку ви можете сховатися під столом, щоб бути в безпеці.
53.5: Без проблем.
54.6: Я бажаю тобі всього найкращого для твоєї першої місії.
57: Щасти тобі, скоро побачимося!","0.0: Здравствуйте и добро пожаловать в ваше первое паранормальное наблюдение.
3.5: Меня зовут Дэниел, и я буду вести вас через ваше первое наблюдение.
7.7: Вы находитесь в подвале, где с помощью компьютера можете отследить духа, с которым имеете дело.
12.2: Призрак может проходить через разные комнаты. Внизу у вас есть несколько инструментов для обнаружения призрака.
16.7: Используйте ультрафиолетовую лампу для отпечатков ног и пальцев, лазер - для лазерных улик. Звук - для голосовых улик.
23: Кроме того, вам предстоит выполнить еще одно задание. Вы можете найти его в виде заметки на своем компьютере.
28.1: Когда вы найдете все улики, необходимые для получения типа призрака, вы можете провести экзорцизм.
32.8: Очень важно отметить, что призрак может бродить по зданию, поэтому проводить экзорцизм нужно тогда, когда вы точно уверены, что дух находится в комнате.
41: Например, вы можете использовать измеритель ЭМП, чтобы обнаружить комнату с призраком.
45: Если вы находитесь в подвале, это не значит, что вы в полной безопасности, призрак все еще может охотиться.
50: В таком случае вы можете спрятаться под столом, и тогда вы будете в безопасности.
53.5: Без проблем.
54.6: Желаю вам всего наилучшего в вашей первой миссии.
57: Удачи, скоро снова поговорим!","0.0: こんにちは、初めての超常現象観察へようこそ。
3.5:私の名前はダニエル、あなたの最初の観察をガイドします。
7.7:あなたは地下室にいて、コンピューターを使って相手の霊を追跡することができる。
12.2: 幽霊はいろいろな部屋を通り抜けることができる。下にいくつかの幽霊探知ツールがある。
16.7: 足跡や指紋にはUVライトを、レーザー証拠にはレーザーを使う。音声証拠にはサウンドを。
23: さらに、もう一つのタスクがあります。パソコンにメモとして残されています。
28.1: ゴーストタイプに必要な証拠をすべて見つけたら、悪魔祓いを行うことができます。
32.8：幽霊は建物内を彷徨う可能性があるので、霊が部屋にいることを確信したときにお祓いを行う必要がある。
41：たとえば、電磁波計で幽霊部屋を探知することができる。
45: 地下にいるからといって、完全に安全とは限りません。
50: その場合は机の下に隠れれば安全です。
53.5: まったく問題ありません。
54.6: 初任務の成功を祈ります。
57: 頑張ってください！","0.0：你好，欢迎来到你的第一次超自然现象观察。
3.5:我叫丹尼尔，我将指导你完成第一次观察。
7.7:你现在在地下室，可以用电脑追踪你要对付的灵魂。
12.2:鬼魂可以穿过不同的房间。下面有几个鬼魂探测工具。
16.7:使用紫外线灯检测脚印和指纹，使用激光检测激光证据。声音用于声音证据。
23:此外，你还有另一项任务要做。您可以在电脑上以备注的形式找到它。
28.1:当你找到所有需要的证据后，你就可以进行驱魔了。
32.8:需要注意的是，鬼魂可能会在建筑内四处游荡，因此需要在非常确定鬼魂就在房间内时进行驱魔。
41:例如，你可以使用电磁场计来探测鬼屋。
45:虽然你在地下室，但这并不意味着你就完全安全了，鬼魂还是会追杀你。
50:在这种情况下，你可以躲在桌子下面，这样你就安全了。
53.5: 完全没问题。
54.6:祝你们第一次执行任务一切顺利。
57:祝你好运，我们很快再聊！","0.0: 안녕하세요, 첫 초자연 현상 관측에 오신 것을 환영합니다.
3.5: 제 이름은 다니엘이고, 첫 번째 관찰을 안내해드리겠습니다.
7.7: 여러분은 컴퓨터를 사용하여 여러분이 상대하고 있는 영혼을 추적할 수 있는 지하실에 있습니다.
12.2: 유령은 여러 방을 통과할 수 있습니다. 아래에 몇 가지 유령 탐지 도구가 있습니다.
16.7: 발자국과 지문은 자외선을, 레이저 증거는 레이저를 사용하세요. 음성 증거에는 소리를 이용하세요.
23: 추가로 해야 할 다른 작업도 있습니다. 컴퓨터에서 메모로 찾을 수 있습니다.
28.1: 유령 유형을 파악하는 데 필요한 모든 증거를 찾으면 엑소시즘을 수행할 수 있습니다.
32.8 : 유령이 건물 주위를 돌아 다닐 수 있으므로 영혼이 방에 있다는 것이 확실 할 때 엑소시즘을 수행해야한다는 점에 유의하는 것이 매우 중요합니다.
41 : 예를 들어 EMF 미터를 사용하여 유령 방을 감지 할 수 있습니다.
45: 지하실에 있다고 해서 완전히 안전하다는 의미는 아니며 유령은 여전히 사냥을 할 수 있습니다.
50: 이 경우 책상 아래에 숨으면 안전할 수 있습니다.
53.5: 전혀 문제 없어요.
54.6: 첫 임무에 최선을 다하길 바랍니다.
57: 행운을 빌어요, 곧 다시 얘기하죠!"
Subtitle_1,"0: Hello, it's me again.
3: You made some good observations already. Maybe you've noticed some camera interruptions of a shadow-like person?
12.5: Well, that's nothing! Yes, nothing to worry about. It's just some crazy hallucination you can get by working late at night.
24: Perhaps if you hear some knocking on the door, just hide below your desk and it's all fine.
31.5: Why should you open a door if someone knocks on it?
35.5: Here is nobody. It's just nothing. Absolutely nothing at all. Everything is fine.
46: Anyway, you probably noticed there is a candle on the table you can light.
52.5: To light the candle you need to buy matches before. You can use the candle to prevent a hunt as it keeps your sanity up.
62.5: That's all for today, We'll talk again soon!","0:Hallo, hier bin ich wieder. Du hast bereits einige interessante Beobachtungen gemacht. Hast du die Unterbrechungen in der Kameraaufzeichnung durch eine schattenhafte Gestalt bemerkt? 
11:Keine Sorge, das ist nichts Ernstes – nur Halluzinationen, die man bekommen kann, wenn man spät arbeitet.
17:Solltest du Klopfgeräusche an der Tür hören, verstecke dich einfach unter deinem Schreibtisch und alles wird gut. Es gibt keinen Grund, die Tür zu öffnen – es ist niemand da.
27:Alles ist in Ordnung.
30:Vielleicht ist dir die Kerze auf dem Tisch aufgefallen. Um sie anzuzünden, benötigst du Streichhölzer, die du vorher kaufen musst. 
37:Die Kerze kann helfen, eine Geisterjagd zu verhindern, indem sie deine geistige Gesundheit schützt. Das ist alles für heute. Wir sprechen bald wieder!","0 : Bonjour, c'est encore moi.
3 : Vous avez déjà fait de bonnes observations. Peut-être avez-vous remarqué des interruptions de caméra d'une personne ressemblant à une ombre ?
12.5 : Eh bien, ce n'est rien ! Oui, il n'y a pas de quoi s'inquiéter. C'est juste une hallucination folle que l'on peut avoir en travaillant tard le soir.
24 : Si vous entendez frapper à la porte, cachez-vous sous votre bureau et tout ira bien.
31.5 : Pourquoi devriez-vous ouvrir une porte si quelqu'un y frappe ?
35.5 : Ici, il n'y a personne. Il n'y a rien. Absolument rien. Tout va bien.
46 : Quoi qu'il en soit, vous avez probablement remarqué qu'il y a une bougie sur la table que vous pouvez allumer.
52.5 : Pour allumer la bougie, il faut d'abord acheter des allumettes. Tu peux utiliser la bougie pour éviter une chasse car elle te permet de garder la tête froide.
62.5 : C'est tout pour aujourd'hui, nous en reparlerons bientôt !","0: Hola, soy yo otra vez.
3: Ya has hecho algunas buenas observaciones. ¿Quizás has notado algunas interrupciones de cámara de una persona parecida a una sombra?
12.5: ¡Bueno, eso no es nada! Sí, nada de qué preocuparse. Es sólo una alucinación loca que puedes tener trabajando hasta altas horas de la noche.
24: Tal vez si oyes que llaman a la puerta, escóndete debajo de tu escritorio y todo irá bien.
31.5: ¿Por qué abrir una puerta si alguien llama a ella?
35.5: Aquí no hay nadie. No hay nada. Absolutamente nada. Todo está bien.
46: De todos modos, probablemente te habrás dado cuenta de que hay una vela sobre la mesa que puedes encender.
52.5: Para encender la vela necesitas comprar cerillas antes. Puedes usar la vela para evitar una cacería ya que mantiene tu cordura.
62.5: Eso es todo por hoy, ¡volveremos a hablar pronto!","0: Привіт, це знову я.
3: Ви вже зробили кілька хороших спостережень. Можливо, ви помітили, що камера перебиває тінь від людини, схожої на тінь?
12.5: Ну, це дрібниці! Так, нічого страшного. Це просто якась божевільна галюцинація, яку можна отримати, працюючи до пізньої ночі.
24: Можливо, якщо ти почуєш стукіт у двері, просто сховайся під столом, і все буде гаразд.
31,5: Навіщо відчиняти двері, якщо хтось стукає?
35.5: Тут нікого немає. Просто нікого. Абсолютно нічого. Все гаразд.
46: Ти, мабуть, помітив, що на столі стоїть свічка, яку можна запалити.
52.5: Щоб запалити свічку, потрібно заздалегідь купити сірники. Ти можеш використовувати свічку, щоб запобігти полюванню, оскільки вона зберігає твій здоровий глузд.
62.5: Це все на сьогодні, ми ще поговоримо!","0: Здравствуйте, это снова я.
3: Вы уже сделали несколько хороших наблюдений. Может быть, вы заметили прерывания камеры человеком, похожим на тень?
12.5: Ну, это ерунда! Да, не о чем беспокоиться. Это просто безумная галлюцинация, которую можно получить, работая поздно ночью.
24: Возможно, если вы услышите стук в дверь, просто спрячьтесь под столом, и все будет в порядке.
31.5: Почему вы должны открывать дверь, если в нее кто-то стучит?
35.5: Здесь никого нет. Просто ничего. Абсолютно ничего. Все в порядке.
46: В любом случае, вы, наверное, заметили, что на столе стоит свеча, которую можно зажечь.
52.5: Чтобы зажечь свечу, нужно предварительно купить спички. Вы можете использовать свечу, чтобы предотвратить охоту, так как она сохраняет ваше здравомыслие.
62.5: На сегодня это все, скоро поговорим снова!","0：こんにちは、また私です。
3: すでに良い観察をしていますね。もしかして、影みたいな人がカメラに割り込んでいるのに気づきましたか？
12.5：まあ、何でもないです！そう、心配することはない。夜遅くまで仕事をしていると、おかしな幻覚を見ることがあるんだ。
24: ドアをノックする音が聞こえたら、机の下に隠れていれば大丈夫ですよ。
31.5：誰かがドアをノックしたら、なぜドアを開けなければならないの？
35.5：ここには誰もいない。ただ何もない。まったく何もない。すべて順調です。
46: とにかく、テーブルの上にろうそくが置いてあるのに気づいたでしょう。
52.5: ロウソクに火をつけるには、マッチを買う必要があります。正気を保つため、狩りを防ぐためにロウソクを使うことができます。
62.5: 今日はここまで！","0: 你好，还是我。
3: 你已经有了一些很好的观察。也许你注意到了一些类似影子的人的镜头干扰？
12.5：嗯，这没什么！是的，没什么好担心的。这只是深夜工作时产生的疯狂幻觉。
24：如果你听到敲门声，只要躲在桌子下面就没事了。
31.5：如果有人敲门，你为什么要开门？
35.5: 这里没有人。什么都没有。什么都没有。一切都很好。
46：总之，你可能注意到桌子上有一支蜡烛，你可以点燃它。
52.5：要点燃蜡烛，你需要先买火柴。你可以用蜡烛来防止狩猎，因为它能让你保持理智。
62.5：今天就到这里吧，我们很快再聊！","0: 안녕하세요, 또 저입니다.
3: 이미 몇 가지 좋은 관찰을 하셨군요. 혹시 그림자 같은 사람이 카메라에 끼어드는 것을 보셨나요?
12.5: 아무것도 아니에요! 네, 걱정할 거 없어요. 밤늦게까지 일하다 보면 생길 수 있는 이상한 환각일 뿐이죠.
24: 문을 두드리는 소리가 들리면 책상 밑으로 숨으면 괜찮을 거예요.
31.5: 누군가 문을 두드리면 왜 문을 열어야 하나요?
35.5: 여기 아무도 없어요. 그냥 아무것도 아니에요. 전혀 아무것도 아니에요. 모든 게 괜찮아요.
46: 어쨌든, 테이블 위에 불을 붙일 수 있는 양초가 있는 걸 보셨을 거예요.
52.5: 촛불을 켜려면 먼저 성냥을 사야 합니다. 촛불을 사용하면 정신이 번쩍 들기 때문에 사냥을 예방할 수 있습니다.
62.5: 오늘은 여기까지입니다, 곧 다시 이야기하죠!"
